"posterior","tree"
1,"I(RadiusJpt)"
1,"I(PlanetaryDensJpt)"
0.692088404766342,"I(PeriodDays)"
0.521888714274194,"I(sigmoid(I(logi(I(RadiusJpt)))))"
0.521888714274194,"I(logi(m(-0.00081091,1) +m(-7.348e-05,I(PlanetaryDensJpt))+m(-0.00514587,I(exp(I(RadiusJpt))))))"
0.474425222539996,"I(sigmoid(I(logi(m(-0.0073455,1) +m(-0.00093112,I(PlanetaryDensJpt))+m(-0.0021452,I(RadiusJpt))))))"
0.474425222539996,"I(exp(m(1.177e-05,1) +m(0.01022857,I(PlanetaryDensJpt))+m(-1.391e-05,I(Eccentricity))))"
0.335352435217102,"I(SemiMajorAxisAU)"
