"posterior","tree"
1,"I(PlanetaryDensJpt)"
0.941181556751529,"I(exp(m(0.000154,1) +m(0.00014666,I(RadiusJpt))+m(0.01362364,I(PlanetaryDensJpt))))"
0.941181556751529,"I(exp(m(0.00017382,1) +m(2.981e-05,I(RadiusJpt))+m(0.00822059,I(exp(I(RadiusJpt))))))"
0.941181556751529,"I(exp(m(-1.61e-06,1) +m(0.00261916,I(PlanetaryDensJpt))+m(0.00803474,I(exp(I(RadiusJpt))))))"
0.090180530681675,"I(PeriodDays)"
0.0634402107099779,"I(RadiusJpt)"
0.0608405656293901,"I(SemiMajorAxisAU)"
0.0587087084539483,"I(sigmoid(I(logi(m(-0.01434902,1) +m(-0.0043435,I(RadiusJpt))+m(-0.00016647,I(PlanetaryDensJpt))))))"
0.0587087084539483,"I(sigmoid(I(RadiusJpt)))"
